code,province_code,regency,type
1105,11,Aceh Barat,Kabupaten
1112,11,Aceh Barat Daya,Kabupaten
1106,11,Aceh Besar,Kabupaten
1114,11,Aceh Jaya,Kabupaten
1101,11,Aceh Selatan,Kabupaten
1110,11,Aceh Singkil,Kabupaten
1116,11,Aceh Tamiang,Kabupaten
1104,11,Aceh Tengah,Kabupaten
1102,11,Aceh Tenggara,Kabupaten
1103,11,Aceh Timur,Kabupaten
1108,11,Aceh Utara,Kabupaten
1306,13,Agam,Kabupaten
5305,53,Alor,Kabupaten
8171,81,Ambon,Kota
1209,12,Asahan,Kabupaten
9304,93,Asmat,Kabupaten
5103,51,Badung,Kabupaten
6311,63,Balangan,Kabupaten
6471,64,Balikpapan,Kota
1171,11,Banda Aceh,Kota
1871,18,Bandar Lampung,Kota
3273,32,Bandung,Kota
3204,32,Bandung,Kabupaten
3217,32,Bandung Barat,Kabupaten
7201,72,Banggai,Kabupaten
7207,72,Banggai Kepulauan,Kabupaten
7211,72,Banggai Laut,Kabupaten
1901,19,Bangka,Kabupaten
1905,19,Bangka Barat,Kabupaten
1903,19,Bangka Selatan,Kabupaten
1904,19,Bangka Tengah,Kabupaten
3526,35,Bangkalan,Kabupaten
5106,51,Bangli,Kabupaten
3279,32,Banjar,Kota
6303,63,Banjar,Kabupaten
6372,63,Banjarbaru,Kota
6371,63,Banjarmasin,Kota
3304,33,Banjarnegara,Kabupaten
7303,73,Bantaeng,Kabupaten
3402,34,Bantul,Kabupaten
1607,16,Banyuasin,Kabupaten
3302,33,Banyumas,Kabupaten
3510,35,Banyuwangi,Kabupaten
6304,63,Barito Kuala,Kabupaten
6204,62,Barito Selatan,Kabupaten
6213,62,Barito Timur,Kabupaten
6205,62,Barito Utara,Kabupaten
7311,73,Barru,Kabupaten
2171,21,Batam,Kota
3325,33,Batang,Kabupaten
1504,15,Batanghari,Kabupaten
3579,35,Batu,Kota
1219,12,Batu Bara,Kabupaten
7472,74,Bau Bau,Kota
3275,32,Bekasi,Kota
3216,32,Bekasi,Kabupaten
1902,19,Belitung,Kabupaten
1906,19,Belitung Timur,Kabupaten
5304,53,Belu,Kabupaten
1117,11,Bener Meriah,Kabupaten
1403,14,Bengkalis,Kabupaten
6107,61,Bengkayang,Kabupaten
1771,17,Bengkulu,Kota
1701,17,Bengkulu Selatan,Kabupaten
1709,17,Bengkulu Tengah,Kabupaten
1703,17,Bengkulu Utara,Kabupaten
6403,64,Berau,Kabupaten
9106,91,Biak Numfor,Kabupaten
5206,52,Bima,Kabupaten
5272,52,Bima,Kota
1275,12,Binjai,Kota
2101,21,Bintan,Kabupaten
1111,11,Bireuen,Kabupaten
7172,71,Bitung,Kota
3505,35,Blitar,Kabupaten
3572,35,Blitar,Kota
3316,33,Blora,Kabupaten
7502,75,Boalemo,Kabupaten
3201,32,Bogor,Kabupaten
3271,32,Bogor,Kota
3522,35,Bojonegoro,Kabupaten
7101,71,Bolaang Mongondow,Kabupaten
7111,71,Bolaang Mongondow Selatan,Kabupaten
7110,71,Bolaang Mongondow Timur,Kabupaten
7108,71,Bolaang Mongondow Utara,Kabupaten
7406,74,Bombana,Kabupaten
3511,35,Bondowoso,Kabupaten
7308,73,Bone,Kabupaten
7503,75,Bone Bolango,Kabupaten
6474,64,Bontang,Kota
9302,93,Boven Digoel,Kabupaten
3309,33,Boyolali,Kabupaten
3329,33,Brebes,Kabupaten
1375,13,Bukittinggi,Kota
5108,51,Buleleng,Kabupaten
7302,73,Bulukumba,Kabupaten
6501,65,Bulungan,Kabupaten
1508,15,Bungo,Kabupaten
7205,72,Buol,Kabupaten
8104,81,Buru,Kabupaten
8109,81,Buru Selatan,Kabupaten
7404,74,Buton,Kabupaten
7415,74,Buton Selatan,Kabupaten
7414,74,Buton Tengah,Kabupaten
7410,74,Buton Utara,Kabupaten
3207,32,Ciamis,Kabupaten
3203,32,Cianjur,Kabupaten
3301,33,Cilacap,Kabupaten
3672,36,Cilegon,Kota
3277,32,Cimahi,Kota
3274,32,Cirebon,Kota
3209,32,Cirebon,Kabupaten
1211,12,Dairi,Kabupaten
9408,94,Deiyai,Kabupaten
1207,12,Deli Serdang,Kabupaten
3321,33,Demak,Kabupaten
5171,51,Denpasar,Kota
3276,32,Depok,Kota
1310,13,Dharmasraya,Kabupaten
9406,94,Dogiyai,Kabupaten
5205,52,Dompu,Kabupaten
7203,72,Donggala,Kabupaten
1472,14,Dumai,Kota
1611,16,Empat Lawang,Kabupaten
5308,53,Ende,Kabupaten
7316,73,Enrekang,Kabupaten
9203,92,Fak Fak,Kabupaten
5306,53,Flores Timur,Kabupaten
3205,32,Garut,Kabupaten
1113,11,Gayo Lues,Kabupaten
5104,51,Gianyar,Kabupaten
7501,75,Gorontalo,Kabupaten
7571,75,Gorontalo,Kota
7505,75,Gorontalo Utara,Kabupaten
7306,73,Gowa,Kabupaten
3525,35,Gresik,Kabupaten
3315,33,Grobogan,Kabupaten
6210,62,Gunung Mas,Kabupaten
3403,34,Gunungkidul,Kabupaten
1278,12,Gunungsitoli,Kota
8201,82,Halmahera Barat,Kabupaten
8204,82,Halmahera Selatan,Kabupaten
8202,82,Halmahera Tengah,Kabupaten
8206,82,Halmahera Timur,Kabupaten
8203,82,Halmahera Utara,Kabupaten
